Rosca/diametro,Comprimento em mm,Bedame de corte, Custo Por Comprimento ,Custo Por mm,M6,M8,M10,M12,M14
PORCA M6 ,0,0, R$ -   ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,20,3, R$ 0.30 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,25,3, R$ 0.36 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,30,3, R$ 0.42 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,35,3, R$ 0.49 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,40,3, R$ 0.55 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,45,3, R$ 0.62 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,50,3, R$ 0.68 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,60,3, R$ 0.81 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,75,3, R$ 1.00 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,80,3, R$ 1.07 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,90,3, R$ 1.20 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,95,3, R$ 1.26 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,110,3, R$ 1.45 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,125,3, R$ 1.65 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M6,280,3, R$ 3.64 ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
PORCA M8,0,0, R$ -   ,0.01287, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M8,20,3, R$ 0.97 ,0.04214, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M8,25,3, R$ 1.18 ,0.04214, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
