POR-P 22.22,,,,,,,,
BARRA CORPO,SEGREDO,BARRA ROSCADA,M6,M8,M10,M12,M14,M�dia
418.66,2.12,, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 ,51.91
,,,,,,,,
CORTE COMPRIMENTO,CORTE A LASER,CORTE  70mm,,,,,,
 R$ 0.56 , R$ 2.12 , R$ 4.33 ,,,,,,
,,,,,,,,
USINAGEM REBAIXO,SEPARA��O CODIGOS,Custo Torneamento barra roscada,,,,,,
 R$ 2.92 , R$ 0.03 , R$ 1.95 ,,,,,,
,,,,,,,,
FURA��O,SOLDA,,,,,,,
 R$ 1.15 , R$ 1.31 ,,,,,,,
,,,,,,,,
,,,,,,,,
, R$ 1.31 ,,,,,,,
,,,,,,,,
,DECAPANTE / JATEAMENTO,,,,,,,
, R$ 0.06 ,,,,,,,
,,,,,,,,
,BANHO / LIMPEZA,,,,,,,
, R$ 0.06 ,,,,,,,
,,,,,,,,
,POLIMENTO,,,,,,,
, R$ 0.85 ,,,,,,,
,,,,,,,,
,ARMAZENAMENTO/ESTOQUE,,,,,,,
, R$ 0.03 ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TOTAL,,,,,,,
, R$ 16.64 ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
