POR-P 22.22,,,
BARRA CORPO,SEGREDO,,
418.66,2.12,,
,,,
CORTE COMPRIMENTO,CORTE A LASER,,
 R$ 0.56 , R$ 2.12 ,,
,,,
USINAGEM REBAIXO,SEPARA��O CODIGOS,,
 R$ 2.92 , R$ 0.03 ,,
,,,
FURA��O,SOLDA,,
 R$ 1.15 , R$ 1.31 ,,
,,,
,,,
,,,
,,,
,DECAPANTE / JATEAMENTO,,
, R$ 0.06 ,,
,,,
,BANHO / LIMPEZA,,
, R$ 0.06 ,,
,,,
,POLIMENTO,,
, R$ 0.85 ,,
,,,
,ARMAZENAMENTO/ESTOQUE,,
, R$ 0.03 ,,
,,,
,,,
,,,
,,,
,TOTAL,,
, R$ 9.05 ,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
