Servi�o,Tempo Gasto em segundos,Custo HR em R$,Custo Do Servi�o/ pe�a,Insumos por Setor,Servi�o + insumo,,,,SOLDA
Solda Fundo Copo + tubo,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
Solda corpo fixador + moeda,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
Solda Corpo Fixador + Barra Roscada,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
Solda Segredo + Chave,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
Solda Cabo + Corpo chave,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
Solda corpo porca + Moeda,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
Solda corpo porca + BAR ROSCADA,60, R$ 14.55 , R$ 0.24 , R$ 1.06 , R$ 1.31 ,,,,
,,,,,,,,,
,,,,,,,,,
Corte tubo do copo,40, R$ 14.55 , R$ 0.16 , R$ 1.71 , R$ 1.87 ,,,,CORTE LIXADEIRA
Corte Cabo Chave,40, R$ 14.55 , R$ 0.16 , R$ 1.71 , R$ 1.87 ,,,,
Corte Tubo Chave,40, R$ 14.55 , R$ 0.16 , R$ 1.71 , R$ 1.87 ,,,,
Corte barra Porca,50, R$ 14.55 , R$ 0.20 , R$ 1.71 , R$ 1.91 ,,,,
,,,,,,,,,
,,,,,,,,,
Torneamento Barra Roscada,60, R$ 14.55 , R$ 0.24 , R$ 1.71 , R$ 1.95 ,,,,TORNEAMENTO
Torneamento Corpo Porca,300, R$ 14.55 , R$ 1.21 , R$ 1.71 , R$ 2.92 ,,,,
Torneamento ponta chave,120, R$ 14.55 , R$ 0.48 , R$ 1.71 , R$ 2.20 ,,,,
Torneamento Arestas chave,40, R$ 14.55 , R$ 0.16 , R$ 1.71 , R$ 1.87 ,,,,
,,,,,,,,,
Polimento,100, R$ 5.20 , R$ 0.14 , R$ 0.71 , R$ 0.85 ,,,,ACABAMENTO
Grava��o,40, R$ 5.20 , R$ 0.06 ,, R$ 0.06 ,,,,
Banho,40, R$ 5.20 , R$ 0.06 ,, R$ 0.06 ,,,,
,,,,,,,,,
Fura��o Tubo chave,220, R$ 5.20 , R$ 0.32 , R$ 0.83 , R$ 1.15 ,,,,FURA��O
Fura��o Porca,220, R$ 5.20 , R$ 0.32 , R$ 0.83 , R$ 1.15 ,,,,
,,,,,,,,,
ZINCAGEM,40, R$ 5.20 , R$ 0.06 ,, R$ 0.06 ,,,,TRATAMENTO 
DECAPANTE,40, R$ 5.20 , R$ 0.06 ,, R$ 0.06 ,,,,
,,,,,,,,,
Estoque,20, R$ 5.20 , R$ 0.03 ,, R$ 0.03 ,,,,Estoque
Separa��o,20, R$ 5.20 , R$ 0.03 ,, R$ 0.03 ,,,,
,,,,,,,,,
Rosca,20, R$ 14.55 , R$ 0.08 ,, R$ 0.08 ,,,,Manualmente
,,,,,,,,,
